image_id,image_path,ground_truth
1,images/cat_01.jpeg,4.0
3,images/cat_03.jpeg,8.0
4,images/cat_04.jpeg,6.75
6,images/cat_06.jpeg,4.75
7,images/cat_07.jpeg,5.0
8,images/cat_08.jpeg,1.0
9,images/cat_09.jpeg,5.0
10,images/cat_10.jpeg,7.0
11,images/cat_11.jpeg,9.0
12,images/cat_12.jpeg,8.0
13,images/cat_13.jpeg,9.0
14,images/cat_14.jpeg,9.0
15,images/cat_15.jpeg,9.0
16,images/cat_16.jpeg,9.0
17,images/cat_17.jpeg,4.75
18,images/cat_18.jpeg,3.0
19,images/cat_19.jpeg,4.5
20,images/cat_20.jpeg,5.25
21,images/cat_21.jpeg,7.25
22,images/cat_22.jpeg,1.25
23,images/cat_23.jpeg,6.25
24,images/cat_24.jpeg,7.25
26,images/cat_26.jpeg,5.75
27,images/cat_27.jpeg,5.25
28,images/cat_28.jpeg,4.5
29,images/cat_29.jpeg,6.0
30,images/cat_30.jpeg,4.5
31,images/cat_31.jpeg,4.5
32,images/cat_32.jpeg,3.5
33,images/cat_33.jpeg,8.75
34,images/cat_34.jpeg,7.0
35,images/cat_35.jpeg,6.5
36,images/cat_36.jpeg,9.0
37,images/cat_37.jpeg,9.0
38,images/cat_38.jpeg,8.25
39,images/cat_39.jpeg,7.25
40,images/cat_40.jpeg,7.75
41,images/cat_41.jpeg,6.25
43,images/cat_43.jpeg,4.0
44,images/cat_44.jpeg,9.0
45,images/cat_45.jpeg,5.0
46,images/cat_46.jpeg,7.5
